Cliente;Cidade;Bairro;Estado;LimiteCredito;PrecoTabela;PrecoVenda;Pedido;CondicaoPagamento;TipoCliente;GrupoProduto;DataPedido;AnoPedido;MesPedido;DiaPedido;DiaSemana;TipoPedido;Quantidade;Valor;Produto
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'HYSzPA';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Bonificado;3.0;20.13;b'FBb6sg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'HYSzPA';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Bonificado;3.0;20.4;b'390Qwg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'HYSzPA';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Bonificado;1.0;6.49;b'3FNUTw'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.95;11.95;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;23.9;b'AV9Gcg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;11.95;11.95;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;11.95;b'PjLj2g'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.75;4.75;b'cWPfdQ';ED21 -14,21,28;PEQUENO;MAQUIAGEM;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;2.0;9.5;b'lZ7TCg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.8;6.8;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.4;b'4uym7A'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;4.4;3.66;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;10.98;b'3nrWBA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.49;6.49;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;6.49;b'cqJxOg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;10.06;10.06;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;30.18;b'QGX1YA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;18.25;18.25;b'cWPfdQ';ED21 -14,21,28;PEQUENO;ABSORVENTES/USO PESSOAL INTIMO;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;1.0;18.25;b'P6N5nA'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;8.72;8.72;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;26.16;b'IgviTg'
b'tINH1w';Rio de Janeiro;VILA MATILDE;RJ;8100.0;6.71;6.71;b'cWPfdQ';ED21 -14,21,28;PEQUENO;CABELOS;2017-11-27 19:39:00;2017;11;27;SEGUNDA-FEIRA;Faturado;3.0;20.13;b'Z0XWQw'
